description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"Transcriptional activator of the basic leucine zipper (bZIP) family, required for transcription of genes involved in resistance to arsenic compounds","transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:response to arsenic-containing substance:positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance",nucleus:cytoplasm,"RNA polymerase II core promoter proximal region sequence-specific DNA binding:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:transcription factor activity, sequence-specific DNA binding:sequence-specific DNA binding",Arr1p
"Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern","regulation of cell shape during vegetative growth phase:regulation of transcription, DNA-templated:cytoskeleton organization:cell cycle:negative regulation of actin filament polymerization:regulation of cytokinesis:regulation of protein localization:regulation of catalytic activity:cell division:regulation of vesicle-mediated transport:regulation of formin-nucleated actin cable assembly",incipient cellular bud site:nucleus:cytoplasm:cellular bud tip:cellular bud neck:Kelch-containing formin regulatory complex,protein phosphatase regulator activity,Bud14p
Putative protein of unknown function; YOR365C is not an essential protein,biological_process unknown:fungal-type cell wall biogenesis:sphingolipid biosynthetic process:transmembrane transport,membrane:integral component of membrane,molecular_function unknown,YOR365C
"DNA damage checkpoint protein, part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate",cell cycle checkpoint:DNA replication checkpoint:DNA damage checkpoint:recombinational repair:DNA repair:cellular response to DNA damage stimulus:mitotic cell cycle checkpoint:intra-S DNA damage checkpoint:meiotic recombination checkpoint:cellular response to ionizing radiation:nucleic acid phosphodiester bond hydrolysis,condensed nuclear chromosome:nucleus:cytoplasm:checkpoint clamp complex,molecular_function unknown:DNA binding:3'-5' exonuclease activity,Ddc1p
"Catalytic subunit of the mitochondrial DNA polymerase; conserved C-terminal segment is required for the maintenance of mitochondrial genome; related to human POLG, which has been associated with mitochondrial diseases",DNA replication:DNA-dependent DNA replication:mitochondrial DNA replication:DNA biosynthetic process:nucleic acid phosphodiester bond hydrolysis,mitochondrion:gamma DNA polymerase complex,nucleic acid binding:DNA binding:DNA-directed DNA polymerase activity:3'-5' exonuclease activity:transferase activity:nucleotidyltransferase activity,Mip1p
One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B,ubiquitin-dependent protein catabolic process:protein catabolic process:ubiquitin-dependent ERAD pathway:positive regulation of RNA polymerase II transcriptional preinitiation complex assembly:proteasome regulatory particle assembly:positive regulation of proteasomal protein catabolic process,"proteasome complex:nucleus:cytoplasm:proteasome regulatory particle, base subcomplex:nuclear proteasome complex:cytosolic proteasome complex",nucleotide binding:ATP binding:hydrolase activity:ATPase activity:TBP-class protein binding:nucleoside-triphosphatase activity:proteasome-activating ATPase activity,Rpt3p
Putative protein of unknown function; regulated by the metal-responsive Aft1p transcription factor; highly inducible in zinc-depleted conditions; localizes to the soluble fraction,biological_process unknown,cellular_component unknown:cytoplasm:cytosol,molecular_function unknown,YOR387C
Receptor protein specific for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Lap4p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles,transport:autophagy:protein transport:vesicle organization:protein processing:ubiquitin-dependent ERAD pathway:protein complex localization:CVT pathway,pre-autophagosomal structure:cytoplasm:cytosol:membrane:extrinsic component of membrane:pre-autophagosomal structure membrane:CVT complex,"protein binding, bridging",Atg19p
"Probable multiple transmembrane protein, involved in diploid invasive and pseudohyphal growth upon nitrogen starvation; required for accumulation of processed Rim101p",pseudohyphal growth:protein processing:filamentous growth of a population of unicellular organisms in response to pH:cellular response to pH,plasma membrane:membrane:integral component of membrane,molecular_function unknown,Dfg16p
"Cytochrome c1, component of the mitochondrial respiratory chain; expression is regulated by the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex","oxidative phosphorylation:mitochondrial electron transport, ubiquinol to cytochrome c:electron transport chain:mitochondrial ATP synthesis coupled proton transport:oxidation-reduction process",mitochondrion:mitochondrial inner membrane:mitochondrial respiratory chain:mitochondrial respiratory chain complex III:membrane:integral component of membrane:respiratory chain,"iron ion binding:electron carrier activity:heme binding:electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity:electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity:metal ion binding",Cyt1p
"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network",mitotic cell cycle:nucleocytoplasmic transport:budding cell bud growth:ribosome biogenesis:ribosomal large subunit biogenesis,"intracellular:cytoplasm:cytosolic large ribosomal subunit:preribosome, large subunit precursor",nucleic acid binding:zinc ion binding:sequence-specific DNA binding:metal ion binding,Rei1p
E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):transcription, DNA-templated:regulation of transcription, DNA-templated:rRNA processing:cellular protein modification process:transport:nucleocytoplasmic transport:nucleus organization:cell cycle:regulation of cell size:protein ubiquitination:protein ubiquitination involved in ubiquitin-dependent protein catabolic process:mRNA transport",intracellular:nucleus:nucleolus:cytoplasm:integral component of membrane,ubiquitin-protein transferase activity:transferase activity:ligase activity,Tom1p
"MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; interacts with Ssk1p, leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress",MAPK cascade involved in osmosensory signaling pathway:activation of MAPKK activity:protein phosphorylation:response to osmotic stress:osmosensory signaling via phosphorelay pathway:phosphorylation:actin cytoskeleton organization:protein autophosphorylation:stress-activated MAPK cascade:cellular hyperosmotic response:positive regulation of actin cytoskeleton reorganization,incipient cellular bud site:cytoplasm:cytosol:cellular bud tip:cellular bud neck:cell cortex,"nucleotide binding:actin binding:protein kinase activity:protein serine/threonine kinase activity:MAP kinase kinase kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Ssk2p
Component of the TOM (translocase of outer mitochondrial membrane) complex responsible for initial import of mitochondrially directed proteins; acts as a receptor for precursor proteins and mediates interaction between TOM and TIM complexes,transport:intracellular protein transport:protein transport:protein import into mitochondrial matrix:protein import into mitochondrial outer membrane,mitochondrion:mitochondrial outer membrane:mitochondrial outer membrane translocase complex:membrane:integral component of membrane:integral component of mitochondrial outer membrane,protein channel activity,Tom22p
"Transcriptional activator of the pleiotropic drug resistance network, regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements)","transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source:positive regulation of cellular response to drug",nucleus:cytoplasm,"RNA polymerase II core promoter proximal region sequence-specific DNA binding:RNA polymerase II transcription factor activity, sequence-specific DNA binding:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:zinc ion binding:metal ion binding",Pdr3p
